q I(q)
0.3799789258061697 273.0244011377379
0.3855496170713441 248.85051708002376
0.39112030833651845 233.6082962121066
0.39669099960169285 245.25709329781748
0.40226169086686725 253.95355576481163
0.40783238213204154 260.47453947784993
0.413403073397216 274.13428598002594
0.41897376466239034 280.4851289946423
0.42454445592756473 294.56530406771645
0.4301151471927391 304.81971325361434
0.4356858384579135 320.8423367898997
0.4412565297230878 329.09206081446
0.4468272209882622 339.53145080740586
0.45239791225343656 344.9630364392916
0.457968603518611 354.88522835396054
0.4635392947837853 364.274129230701
0.46910998604895976 372.15466805588534
0.4746806773141341 379.58778025286125
0.4802513685793084 390.7302490663757
0.48582205984448285 397.4377311243238
0.49139275110965724 406.3303618286501
0.4969634423748316 415.8766984356664
0.5025341336400059 423.85015998620753
0.5081048249051804 431.9933740278105
0.5136755161703548 441.076049880654
0.5192462074355291 448.3008711831918
0.5248168987007035 458.523570886092
0.5303875899658779 463.23503186514654
0.5359582812310522 470.11321928676756
0.5415289724962266 478.75129183765733
0.547099663761401 468.43319899892765
0.5526703550265754 466.1618683186258
0.5582410462917496 471.9509223459306
0.5638117375569242 470.2112239993827
0.5693824288220984 479.36469475806206
0.5749531200872728 487.85570730266187
0.5805238113524472 493.2900456776459
0.5860945026176216 504.0918095953783
0.5916651938827959 511.3226304662073
0.5972358851479703 517.6396112115567
0.6028065764131447 530.8267328987014
0.6083772676783191 541.7614401914504
0.6139479589434935 556.6665911961385
0.6195186502086678 569.169585640199
0.6250893414738422 573.5608461303962
0.6306600327390166 583.6791886366082
0.636230724004191 596.0430636794699
0.6418014152693653 598.6048087566425
0.6473721065345397 611.9957745993742
0.6529427977997142 624.3767660576549
0.6585134890648885 653.7057615237665
0.6640841803300628 679.4797657363134
0.6696548715952373 699.4872672400147
0.6752255628604117 714.9027697568121
0.680796254125586 730.051397359387
0.6863669453907604 740.4449083006945
0.6919376366559347 750.6126943079414
0.6975083279211091 761.4390917472458
0.7030790191862835 771.6869896369689
0.7086497104514579 781.5723018524362
0.7142204017166321 792.6485636652786
0.7197910929818065 780.5736207730039
0.7253617842469811 786.658947599158
0.7309324755121553 795.5193218010246
0.7365031667773296 801.3770885310523
0.7420738580425041 811.6445379550889
0.7476445493076785 819.6652549288176
0.7532152405728528 826.9797874230974
0.7587859318380272 836.885357004442
0.7643566231032016 843.0030109162119
0.769927314368376 852.5529825557812
0.7754980056335503 860.5840752534956
0.7810686968987247 866.9755918119683
0.7866393881638991 876.6032755066973
0.7922100794290734 885.5473613320148
0.7977807706942479 889.9866183685414
0.8033514619594222 900.9879914524787
0.8089221532245965 909.7521608122177
0.8144928444897709 914.6392679758908
0.8200635357549454 924.6921446045726
0.8256342270201197 933.0114989128887
0.8312049182852942 938.9402722982213
0.8367756095504686 948.6038828195409
0.8423463008156429 956.1443519973506
0.8479169920808172 965.2350390384418
0.8534876833459916 973.7907763374297
0.8590583746111659 982.1522687900967
0.8646290658763403 991.1017895184546
0.8701997571415148 1000.6497142464891
0.875770448406689 1007.5067267212002
0.8813411396718636 1018.4789489615581
0.8869118309370378 1028.4477610510073
0.8924825222022122 1036.5432961704846
0.8980532134673865 1046.6556038168271
0.9036239047325609 1057.7639809658165
